               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.026074,            0.018008,           0.0049886,             0.67344,             0.64331,             0.65994,             0.38742,            0.026791,            0.012087,           0.0084893,            0.007624,            0.007624,            0.007624
                  38,            0.026903,            0.018072,           0.0046255,              0.7084,             0.62486,             0.68528,             0.40069,            0.026502,            0.012236,           0.0084005,            0.007558,            0.007558,            0.007558
                  39,            0.026061,            0.018404,           0.0041833,             0.68934,              0.6334,             0.68271,             0.39414,            0.024527,            0.012023,           0.0084894,            0.007492,            0.007492,            0.007492
                  40,            0.026374,            0.017923,           0.0043133,             0.70455,             0.62731,             0.68724,             0.40624,            0.024896,            0.012066,           0.0083209,            0.007426,            0.007426,            0.007426
                  41,            0.025801,            0.018426,           0.0043356,             0.67292,             0.59216,             0.67979,             0.39125,            0.025609,            0.012052,            0.010815,             0.00736,             0.00736,             0.00736
                  42,             0.02545,            0.017362,           0.0042817,             0.63878,             0.63175,             0.68334,             0.41129,            0.023906,            0.011994,           0.0097527,            0.007294,            0.007294,            0.007294
                  43,            0.024265,            0.017918,           0.0032929,             0.72067,              0.6512,             0.69445,             0.42385,             0.02396,            0.011782,           0.0091258,            0.007228,            0.007228,            0.007228
                  44,            0.024522,            0.017702,            0.003751,             0.65087,             0.68762,             0.70603,             0.41938,             0.02336,            0.012156,           0.0086688,            0.007162,            0.007162,            0.007162
                  45,            0.024814,            0.018772,           0.0035499,             0.70113,             0.68035,             0.71268,             0.42229,            0.024774,            0.012195,           0.0082426,            0.007096,            0.007096,            0.007096
                  46,            0.023854,            0.017732,           0.0038425,             0.68167,             0.67446,               0.713,             0.42716,            0.023513,            0.011972,           0.0084277,             0.00703,             0.00703,             0.00703
                  47,            0.024699,            0.017659,            0.004318,             0.74699,             0.69365,             0.73158,             0.44183,             0.02261,            0.012046,           0.0082467,            0.006964,            0.006964,            0.006964
                  48,            0.023979,            0.018512,           0.0040193,             0.68552,              0.6723,             0.71593,             0.43294,            0.023574,            0.011905,            0.008078,            0.006898,            0.006898,            0.006898
                  49,            0.023619,            0.018275,           0.0037449,             0.66184,             0.69252,             0.70711,              0.4271,             0.02283,             0.01208,           0.0075586,            0.006832,            0.006832,            0.006832
                  50,            0.023876,            0.017381,           0.0036642,             0.75794,             0.67238,             0.73328,             0.43961,            0.025084,            0.012061,           0.0076533,            0.006766,            0.006766,            0.006766
                  51,            0.023457,            0.016907,           0.0035856,             0.74062,             0.69115,             0.75153,             0.45388,            0.023088,            0.012022,           0.0076983,              0.0067,              0.0067,              0.0067
                  52,            0.023442,            0.017464,            0.003314,             0.75816,             0.70122,             0.73061,             0.45295,             0.02384,            0.012077,           0.0072213,            0.006634,            0.006634,            0.006634
                  53,            0.023519,            0.016805,           0.0033683,             0.77959,              0.6757,             0.72593,             0.44173,            0.023145,            0.012023,           0.0077439,            0.006568,            0.006568,            0.006568
